P47169,Q03362
P41056,P36141
P00498,Q12166
P56628,P03882
P0CT04,P15801
Q05584,Q9ZZX0
P00498,Q03631
P0CX56,P16965
Q12293,P0CY08
P0CX59,P26370
Q12392,Q08957
P40017,P03879
P25383,P33417
Q06836,P38289
Q06504,P39726
P0CX26,P0CY08
P46654,P40985
P05749,Q3E705
P46990,Q04728
P32643,P53208
P53200,P53920
P0CF22,P39933
P05748,Q3E793
P46969,P53170
P0C2H6,P53035
P0CX70,Q03362
Q12008,P03882
P0CX71,P40994
P0CX50,P40168
P54114,P48561
P0CX26,P47988
P04449,P36001
P0CX66,Q12481
P0CX74,P36141
Q3E841,Q12166
P07277,Q06244
P0CX74,P03882
P07281,P53438
P0CX59,Q02981
P0CX49,P53208
Q08634,P01098
Q12441,Q02981
P47163,P25038
Q12314,P53304
P0CX83,P38073
Q03496,Q6Q560
Q12266,Q12204
Q12173,Q12504
P0CX67,Q06109
Q6Q5H1,P36052
Q06698,P39726
P0CX25,P38116
P0CX49,Q12166
P48445,P38289
P0CX48,P39959
Q12085,P22438
P0CX55,P53688
P0CX69,P36141
P0C2I8,P54785
Q12217,P53123
P36059,P22438
P0CX30,O13585
P0CX34,Q12093
P26784,P53920
Q03483,A0A023PZB3
Q04706,Q06596
Q12391,Q03362
P48589,P01098
Q08748,P40994
P0CX51,P38746
P05756,Q3E785
Q04706,Q2V2Q1
P0CX55,Q02981
P00498,Q08747
P0CX73,Q08957
P51401,P33416
Q12690,Q12093
P40017,P48561
Q12217,P47988
P0CX72,P03881
P0CX49,P11325
P46990,P53972
P0CX48,P47007
P0CX53,Q04728
P14127,P14905
P0CX51,P48561
Q12314,P11325
P0CX31,P25372
Q12085,Q12166
Q12213,Q03214
P53200,P40962
P36059,P03878
P38625,P43589
P36138,P47006
P40017,Q3E705
Q12008,P42950
P0CX26,P38222
P00498,P39684
P0CX35,Q05937
P0CX66,Q03214
Q04215,P40470
P0CX52,P0CY09
Q92392,Q03429
P0CX53,P36052
P0CX60,P09932
P0CX75,Q06469
P46654,P40099
P0CX82,P53338
P0CX57,P46955
P29453,P09950
P23248,Q6Q560
P0CX39,P40962
Q12441,A0A023PZB3
Q02753,P0C5N3
Q6Q5H1,P39724
P26784,P47006
Q06817,Q06109
P46654,P48015
P38625,P22438
P25383,P48561
Q04215,P53688
P0CX59,P54785
Q12470,P38073
P0CX58,P38746
P0C2H7,Q9URQ5
Q06698,P53889
Q08689,P40053
Q08745,P03881
P46784,Q04728
Q12439,P38830
P0CX53,P53946
P0CX52,P0C5N3
P0CX71,P11325
P51401,P39724
Q12000,Q8TGM6
Q08689,P46955
Q12173,Q03214
Q3E754,P38157
P0CX56,P39525
P05740,P53304
Q12485,P0CY11
Q12690,P53304
P04449,Q12481
P46784,P40962
P36156,P53075
P46654,P25372
P0CX83,P36106
Q12391,P53911
P0CX73,Q08422
P0CX72,P32338
P07280,Q03796
P0CX39,P39724
P0CX65,P38157
Q05584,Q12393
Q12173,P53123
P0CX45,P25372
Q12690,P40994
P05747,P40470
Q03856,Q12286
P0CX34,P54785
P05744,Q6Q560
P08432,P33416
P38625,P09950
P0CX28,Q03362
Q04706,P03876
Q12690,P33416
Q12213,P38830
P15496,P15801
P0CX82,Q05549
Q3E7A7,P36052
P47177,Q04623
P05737,P38116
